469: 519,421,965,365,971
470: 793,654
1130: 1098,246,8
472: 864,26,798,444
473: 357,248,912
474: 868,633,501
475: 960,15,157,755,440
476: 186,23,328,1038,959
477: 982,565,779,944,87
478: 485,987,125
479: 1092,1101,525
480: 1030
481: 967,195,862
482: 140,386,89
483: 1157,659,259,165
484: 663
485: 478,125,230
486: 370,1043,917,323,885
1017: 540,34,1027,825,173
1165: 303,337,740,1133
489: 287,526,254
490: 1122,790,1124,451
491: 952,376,1144,11
1091: 
493: 424,225,601
1156: 579,1161
495: 960,382,213,256
1069: 766,1102,1107
497: 747,130,672
498: 1101
499: 45
500: 746,8,1041,1140,1113,695,150
501: 633,837,868,474,83
502: 193,27
503: 155,530
1112: 971,243,887,164
505: 616,795,643,762
506: 18,1008,745,1019
507: 961,920,559,92
508: 1060,1077
509: 18
510: 788,139,133,730
511: 180,972,1086
512: 709,413
513: 978,937,229
514: 
1158: 1126,78
516: 369,234,759
517: 1167,428,952
518: 788
519: 469,421,376,569,1144
520: 209
521: 
522: 632,441,227,132,586,159
523: 
524: 1078,1154,404,824
525: 586,5,1092,479
526: 287,489,867
527: 535,169,349
528: 156,1068,1160
529: 757,555,1003
530: 155,503
531: 701,1,713,371,699
1115: 296,192,732,663
533: 417,415,667,969,154,1032
534: 1146,338
535: 527,230,349
536: 
537: 801,431
538: 245,142,114
1047: 1157,1083,50,593
540: 1017,825,720
1023: 373,320,352,88
542: 873
1092: 479,1018,311,525
544: 
545: 106,736,1029,874
546: 659,165
547: 463,925,772,750
548: 12,572,37,462
549: 772,172,428
550: 351,990
551: 350,43,615,113
552: 974,1053,629,129
553: 684,228,656
554: 12,797,283,1022
555: 1003,529,1059
556: 351,829,296
557: 1085
558: 151,1012
559: 346,578,507,92
560: 630,1126
561: 411,750,1055
562: 1125,644,1162
563: 163,882,732,663
1133: 52,740,1165
565: 982,477,350,779
566: 698,687,454,920
567: 321,946,1021
568: 1059,45
569: 29,1144,277,914,519,421,1025
570: 106,1024,201,879
1117: 1013,818,291,380
572: 391,446,37,548
573: 902,654
574: 117
575: 1154,725,102
576: 
1140: 300,991,500,1041
578: 559,105,1141
579: 1156,1161,989
580: 854,69,622
581: 668,351
1036: 249,454,358,1120,687
583: 1034,2
584: 1095,613,700,434
585: 57,222,315,995,55
586: 525,5,132,522,159,67
587: 413,374,877,600
1124: 451,490,77
589: 734,741,35
590: 1009,262
591: 813
592: 140,386
593: 100,1047,50,231,183
594: 962,957,1031,23,68,851,1045
595: 436,791,41
596: 195,457
597: 814,620,181
598: 681,448
599: 180,214
600: 198,452,374,413,587
601: 225,493
602: 737,1166,771,603
603: 602,1166,771
604: 914,884,1028,421,965
605: 210,607,424,422
606: 1073,1088,158
607: 823,224,605,422
608: 829,761,296,192
609: 
610: 856,7,1035
611: 65,340
612: 712,678,904
613: 1095,584,700,616
614: 199
615: 43,1079,177,551
616: 505,795,1095,613,297
1055: 772,172,561,750
618: 
619: 84,678,138,904,266
620: 181,443,814,597
621: 1135,400,1033,299
622: 580,94,362
623: 912,972,910,275
624: 458,822
625: 863,60
1046: 637
627: 101,870,7
628: 656
629: 909,653,552,129
630: 560,1126,813
631: 280,981
632: 522,441,1030,227,1131
633: 501,670,837,474
634: 759,38
635: 1114,1103
1025: 914,884,569,277
637: 208,1046,1134
638: 673,669
639: 1109,1148,1088
640: 966
641: 969,154,355
642: 331,727,1020,827,731,135
643: 60,505,221,688
644: 22,674,1162,562
645: 250,1155
646: 439,1034,1004
1021: 58,567,719
648: 764,1033,956
649: 259,297,1083,795,872,1002,124
650: 749
651: 1143
652: 805
653: 328,1038,629
654: 793,470,902,573
1045: 851,23,594,957,407
656: 419,228,553,628
657: 711,44
658: 25,232,769,776
659: 160,546,165,483
1145: 17,305,156
1031: 594,962,957,113,286
662: 1108
663: 484,732,1115,563
664: 20,217
665: 940,1153,760,465,1143
666: 1154,824
667: 231,183,154,1032,533
668: 32,581,1151
669: 121,74,638,673
670: 921,1005,867,633,837
671: 745,361
672: 747,497,826,226
673: 638,669,74,1044
674: 870,644,1162
675: 900,245,773,682,973
676: 937,236
1161: 207,579,1156
678: 888,612,712,619,904
1111: 975,418,312,3,815
680: 683
681: 363,598,448,812
682: 289,773,675,973
683: 1033,680,1135
684: 553
1132: 99,158,337,986
686: 842,848,39
687: 324,566,358,454,1036
688: 762,890,643,221,49
689: 234,1101,240
1029: 106,545,736,879
691: 1138,200,216,331,727,1020,271
692: 886
693: 191,935
1104: 443,1110
695: 282,150,1018,1113,500
1121: 796,791
697: 921
698: 566
699: 371,531
700: 584,613,434,93
701: 531,1,713,211,709
702: 1168,1013
703: 71,1026,726,409
704: 390,463
1026: 1056,726,409,703
706: 213,928
1022: 283,554,392,715
1144: 569,29,519,376,491
709: 211,512,701
710: 
711: 657,145
712: 612,888,229,678
713: 531,701,211,905
714: 
715: 831,392,283,1022,949
716: 775
717: 264,205
718: 241,267,322,1014
719: 933,28,1021
720: 540,438,782
721: 929,945
722: 32,1049
1129: 929,200,953,1010
1157: 483,1047,259,1083
725: 1154,575,102
726: 1026,703,71
727: 331,642,691,271,731
1142: 796,907,886
729: 455,410,761,439
730: 398,139,510
731: 203,642,727,858
732: 1115,563,663
733: 90,162,751,61
734: 589,335
735: 744,927
736: 106,545,1029,138,821,874,838
737: 602,442
738: 875,447
739: 822,153,1061
740: 303,1165,985,1133
741: 335,1060,1077,589
742: 353,322
743: 1097,257,87,944,72
744: 116,326,735
745: 361,1019,671,506
746: 215,8,500,1041
747: 130,497,672,450,947
748: 235,333,1119
749: 650,239
750: 411,561,547,925,772,1055
751: 61,733,162
1097: 257,743,72,22
753: 366
1159: 926
755: 823,224,157,475,440,243
756: 844
757: 529,131,1003
758: 961,1011,454
759: 234,516,634
760: 105,327,465,1143,665
761: 829,439,608,729
762: 688,890,872,505,795
1088: 1073,606,1109,639,1148,158
764: 51,648,1033,299
1095: 584,613,616
766: 1149,1102,1069
767: 926,215,1098
1108: 1105,662
769: 232,658
770: 
771: 602,603
772: 549,172,1055,547,750
773: 675,682
774: 255,388,19
775: 716,1074
776: 781,1024,658
777: 832,850,20
778: 280,794,841
779: 113,286,350,565,477
780: 917,323,347,984,62
781: 175,776,1024
782: 137,720,438
783: 13,179,59
1120: 250,358,1155,820,1036
1027: 893,313,34,1017,173
786: 213,256,16
787: 
788: 510,518
789: 888,229,368,893
790: 1061,490
791: 796,1121,436,595
1019: 745,506,373,320
793: 654,470,111,955
794: 461,989,841,778
795: 505,616,297,649,762,872
796: 791,1142,1121,436
797: 1049,554,283,341
798: 864,472,819
799: 909,118
1034: 583,2,439,646
801: 21,930,537
802: 437,84,266
803: 843
1041: 746,500,1140
805: 652,1007,334
806: 54,855,1137
807: 1037,40,174
1062: 991,404,824,300
1015: 120,1093
810: 14,1070,21
1106: 844,364,52,307
812: 448,681
813: 630,591
814: 443,597,620
815: 214,3,1111,312,423
816: 974,28
817: 253,33
818: 291,61,301,1117
819: 849,292,798,864
820: 39,467,250,1120
821: 138,904,874,736
822: 739,168,624
823: 755,224,607,164,422
824: 1062,404,666,524
825: 173,1017,540
826: 430,964,880,672
827: 901,642,1020,135
828: 1056,51
829: 761,990,556,296,608
1138: 200,691,216
831: 715,949,272,457
832: 777,850,884
1057: 63,127,218
1141: 465,578,105
835: 151,214,897
1113: 991,404,1078,500,695,1018
837: 76,670,1005,633,501
838: 138,266,106,736
1020: 331,642,983,216,691,827,901
1105: 891,1108
841: 794,461,778
842: 848,996,686,39
843: 1052,803
844: 756,1106
1109: 639,1052,1073,1088
1056: 828,1026,340,409
847: 260
848: 842,123,686,1075,109
849: 819,864,10
850: 832,777,20
851: 959,1045,853,23,594
1149: 766,970,1102
853: 851,121
854: 580,94
855: 1137,54,806
856: 610,128,877
1054: 334,112,1007
858: 394,85,731,1147
859: 22,425,191
860: 935
1018: 282,695,1113,1078,1092,311
862: 1135,400,481,195
863: 60,625,30,1136
864: 10,26,472,798,849,819
1146: 1084,1082,534,338,107
866: 874,357
867: 1005,526,670
868: 474,501,83
869: 163,189,882,305
870: 72,674,627
1152: 330,4,1039
872: 762,890,795,649,1002
873: 542
874: 866,821,545,736
875: 738,347,447,370
876: 913,153,946
877: 374,128,856,587
878: 27,1081
879: 1042,570,106,1029,201
880: 939,977,826,964
881: 63,306
882: 563,163,869
1127: 104,426
884: 914,604,832,1025
885: 399,204,486,1043
886: 692,1142
887: 164,1028,971,1112,965
888: 789,229,678,712
889: 93,453
890: 762,688,872,49,918
891: 1105
892: 1000
893: 1027,789,173
894: 1116,75,241
1053: 118,321,552
1073: 606,1088,1109,1052
897: 835,151
898: 281,294,50,355
899: 133,466,139
900: 675,245,126
901: 827,983,956,1020
902: 573,654
903: 37,366,462
904: 138,821,678,612,619
905: 313,34,211,713
1044: 407,401,957,74,673
907: 1142
908: 
909: 799,629
910: 972,1086,924,623
1122: 490,240,451
912: 623,473
913: 876,99
914: 604,884,421,1025,569,277
1071: 987,125,1048,1093,170
1040: 110,162
917: 323,780,384,486
918: 49,890,1084
1072: 
920: 566,507
921: 670,697,431
922: 961,346
923: 1066,365
924: 1125,910,1086
925: 547,463,411,750
926: 1159,215,767
927: 339,735
928: 304,706
929: 721,1129,945,1010
930: 21,801,431
931: 15,1042,382
932: 392,217
933: 719,284
934: 960,440
935: 310,860,395,693
1166: 602,603
937: 676,513,978
1167: 517,172
939: 880,977,377
940: 665,1153,207,1103
941: 416,420
942: 145,977,348,377
1039: 117,4,1152,330
944: 477,87,743
945: 929,721,958
946: 153,876,567
947: 450,430,111,747
948: 348,220,377
949: 308,272,283,341,715,831
950: 998
951: 304,96
952: 491,428,376,517
953: 271,200,1129,1010
954: 128,452
955: 111,793
956: 194,983,648,901
957: 594,962,1031,1045,1044,407
958: 95,945
959: 851,328,1038,476,23
960: 495,475,934,15
961: 507,758,922
962: 594,957,1031,43,68,113
963: 65,340,1004,410
964: 826,977,460,880
965: 469,421,887,1028,971,604
966: 199,640
967: 481
1013: 1117,380,702,1168
969: 154,641,533,415
970: 116,326,1149,381
971: 365,1112,887,469,965
972: 910,511,623
973: 114,675,245,682
974: 552,28,816,129
975: 418,1111,1006
976: 
977: 145,942,880,939,964
978: 513,937
1042: 879,382,256,931
980: 264,88,1,371
981: 631
982: 1099,565,477,87
983: 194,956,11,901,1020
984: 347,780,62
985: 303,740
986: 307,1132
987: 125,1071,170,478
1090: 
989: 794,461,579
990: 829,550,351
991: 1062,404,1113,1140,300
992: 193
993: 444,369
994: 69
995: 315,10,26,585
996: 842,123
1148: 639,303,337,1088
998: 950
999: 405,120,1093
1000: 892
1001: 284,292,31
1002: 124,75,649,872
1003: 555,131,529,757
1004: 646,410,963
1005: 867,670,837,76
1006: 975,418
1007: 805,334,1054
1008: 506,18,55
1009: 590,262
1010: 929,1129,953
1011: 249,454,269,758
1012: 558,151,109
1155: 250,358,1120,645
1164: 218,9,306
