1147: 203
806: 54,855,1137
807: 488,228,641,1037
1062: 991,824,300
1015: 1150,167
810: 14,1070,21
1106: 844,364,52,307
812: 448,681
813: 1126,1016,630,591
814: 443,597,620
815: 3,1111,312,423
816: 129,974,1038
817: 253,33
818: 291,61,301
819: 849,798,292,864
820: 39,467,250,1120
821: 138,904,874,736
822: 739,168,624
823: 164,422,224,607,1112
824: 1062,404,666,524
825: 34,540,173
826: 430,964,880,672
827: 642,135
828: 1056,1004
829: 761,990,556,296,608
1138: 200,1020,216,691
831: 715,949,272,457
832: 777,1028,604,884,1025
1057: 63,127,218
1141: 465,578,105
835: 897,151
1113: 991,404,500,695
837: 76,670,633,501
838: 266,138
1020: 952,491,216,11,1138
1105: 891,1108
841: 794,461,778
842: 848,996,686,39
843: 1052,803
844: 756,1106
1109: 639,1052,1073,1088
1056: 828,726,409
847: 261,260
848: 842,123,686,1075
849: 819,864,10
850: 777,20
851: 959,23,594,1045,407
1149: 766,970,1102
853: 129,959,1038,121,1045
854: 580,622,94
855: 1137,54,806
856: 610,1044,128,877
1054: 334,112
858: 394,85
859: 22,425,191
860: 935
1018: 479,1092,1078,498
862: 400,481,195,1034
863: 60,625,30,1136
864: 10,26,472,798,849,819
1146: 1084,1082,534,338,107
866: 874,357
867: 526,670,76
868: 474,501,83
869: 882,163,189,305
870: 627,7,1035,674
1152: 289,4
872: 762,890,649,75,1002
873: 542
874: 866,821,736
875: 370,447,738,1043,426
876: 913,153
877: 374,128,856,587
878: 27,1081
879: 256,106
880: 939,977,826,964
881: 63,306
882: 869,563,163
1127: 104,426
884: 914,604,832,1025,277
885: 399,204
886: 692,1142
887: 164,422,965,1028,604
888: 789,229,678,712
889: 93,453
890: 762,688,872,49,918,1002
891: 1105
892: 1000
893: 173,368,789
894: 1116,1014,241,718
1053: 28,552,1021,321,567
1073: 606,1088,1109,1052
897: 1090,1087,835,151
898: 281,294,50,355
899: 133,466,139
900: 675,245,126
901: 216,11,983
902: 573,654
903: 37,366,462,1022
904: 138,821,678,612,619
905: 313,211,713,34
1044: 673,638,856
907: 1142
908: 
909: 799,629
910: 972,924,623
1122: 490,240,451
912: 623,473
913: 876,99
914: 604,884,421,277,569
1071: 999,1093,336
1040: 523,103,14
917: 323,780,384,258
918: 49,890,1084
1072: 579
920: 507
921: 670,697,431
922: 758,1011,961,346
923: 1066,365
924: 1125,910,1086
925: 547,463,411,750
926: 215,767
927: 339,735
928: 304,706
929: 721,1129,945
930: 21,801,431,1070
931: 15,1042,754,25
932: 402,217,392,1022
933: 719
934: 960,440
935: 310,860,395,693
936: 454,1036
937: 676,513,978
938: 1027
939: 880,377,977
940: 665,1103
941: 416,420,122
942: 145,977,348,377,24
1039: 538,330,114,574
944: 477,87,743
945: 929,721,958
946: 153,567
947: 450,430,111,747
948: 348,377,220
949: 283,341,831,308,272
950: 998
951: 304,96
952: 491,1020,428,376,517
953: 247,271,1010,78
954: 128,452
955: 111,793
956: 194,983,648,1033
957: 594,962,286,407,1031
958: 95,945
959: 851,23,476,328,129,853,1045
960: 495,475,934,15
961: 507,758,922
962: 594,68,957,286,43,113
963: 65,340,410
964: 826,977,460,880
965: 887,164,971,604,469,421
966: 199,640
967: 481
1013: 732,386,592,1115
969: 154,641,533,415
970: 116,326,1149,381
971: 365,1112,164,965,469
972: 511,910,623
973: 289,330,114,675,245,682
974: 28,552,816
975: 418,1111
976: 
977: 145,942,880,939,964
978: 513,937
1042: 15,931,25,232,157
980: 264,88,1,371
981: 631
982: 1099,565,477,87
983: 194,956,29,901,11
984: 780,62
985: 303,740
986: 1132,99,307
987: 125,170,478
1090: 897,1087
989: 794,579
990: 829,550,351
991: 1062,1113,300,1140,500
992: 193
993: 444,369
994: 69
995: 315,10,26,585
996: 842,123
1148: 639,303,337,1088
998: 950
999: 405,120,1093,1048,1071
1000: 560,892
1001: 284,121,669,638
1002: 1116,890,872,75,1139
1003: 555,1007,480,1096
1004: 51,828
1005: 548,446
1006: 459,35,318,418
1007: 131,1131,757,1003
1008: 55,18,362
1009: 657,711,24
1010: 1126,78,1158,953,560
1011: 758,9,922
1012: 1087,393
1155: 250,358
1156: 579,207
