652: 805
653: 803,328,843,629,1044
654: 793,470,902,573
1045: 118,321,1053,552,567,974
656: 419,228,553,628
657: 44
658: 232,769
659: 546,483,160
1145: 17,305,189,156
1031: 1099,860,935,693
662: 1108
663: 484,563
664: 967,217
665: 940,1153,465,1143
666: 1154,530,824,300
667: 231,355,154,417
668: 32
669: 1019,407,74,673
670: 633,403,474
671: 10
672: 747,497,226
673: 669,74,638
674: 870,644,1162
675: 900,245
676: 937,236,368
1161: 207,1103,1000,1179
678: 1017,789,1027
1111: 423,815,214
680: 449,862,1135,683
681: 363,598,1042
682: 27
683: 449,680,1135
684: 553
1132: 337,1165,1133,307,986,1021
686: 842,848,39
687: 324,454
688: 221,872,49,890
689: 234,479,1101,240
1029: 139,357,866,429,899
691: 216,271
692: 886,625
693: 423,1031,860,191,935
1104: 981,443
695: 8,500
1121: 796,791
697: 921,1005
1176: 926,215
699: 531,371,445
700: 584,613,434,1047
701: 531,1,709,211,1035,713
702: 1168,1004,732
703: 71,726
704: 390,976,463
1026: 882,787
706: 1042,304
1022: 963,340,646
1177: 181
709: 701,320,1035,352
1171: 6
711: 
1173: 529,1059,555
713: 34,211,905,531,701
714: 
715: 831,392,402
716: 775,1038,167,290
717: 264,205
718: 267,322,241
719: 933,28
720: 540,438,782
721: 929,1129,945
722: 32
1129: 929,721,953,908,200
1157: 483
725: 524,1154,575,102
726: 703,71,409
727: 247,731,858
1142: 796,907,886
729: 455,761,439,608
730: 398,139,866,510
731: 203,1147,642,727,858
732: 1115,702
733: 90,162,751,61,301
734: 589,335
735: 744,927
736: 838,106,138
737: 602,442,771
738: 875,447
739: 822,1061,153
740: 303,1165,985,1133
741: 335,1060,1077,589
742: 353,900
743: 1097,257,87,944,72
744: 116,326,735
745: 506
746: 926,8,215,1098
747: 130,672,450
748: 235,333,1119
749: 650,239
750: 411,561,1055,547,925,772
751: 61,733,162
1097: 257,743,72,22
753: 366
1159: 926,1085
755: 440,243,475
756: 844
757: 529,131,618
758: 961
759: 234,516,634
760: 
761: 2,990,439,608,829,729
762: 505,795,643
1088: 1073,606,158,337,1109,1148,99
764: 648,51
1095: 584,613,505,616
766: 1149,1102,1069
767: 215,1098
1108: 1105,662
769: 33,232,658
770: 
771: 737,602,603
772: 172,1010,547,549,750,1055
773: 502
774: 255,388,19
775: 716,1038,1015,1074
776: 781,175,242,253
777: 1034,422,850,604
778: 841,794,280,1170
779: 286,477,113,350,565
780: 347,984,323,917
781: 175,776
782: 137,720,438
783: 
1120: 250,820
1027: 825,678,1017,437,84
786: 1024,256,398,16
787: 1026
788: 510,518
789: 678
790: 490,1061
791: 796,1121,436,595
1019: 669,427,121
793: 654,470,111
794: 461,841,778
795: 505,616,762,297,649
796: 791,1142,1121,436
797: 554,283
798: 819,864,1023
799: 1073,606,118,909,1053
1034: 777,210,605,424,422
801: 122,537,1175
802: 619,266,84
803: 653,290,843
1041: 520,300,1062
805: 652,334,1007
806: 645,54,855,1137,467
807: 316,228,384,399
1062: 991,404,300,1041,824
1015: 1074,775
810: 21,14,1070
1106: 844,364,52,307
812: 363,448,1042
813: 630,591
814: 443,597,620
815: 1111,214,835
816: 284
817: 253,33
818: 1117,291,61,301
819: 798,933
820: 39,467,1120
821: 248,888,473
822: 739,1061,624,168
823: 164,157,607,224
824: 666,1154,300,404,1062,524
825: 1027,540,438
826: 964,430
827: 
828: 1056,51,1020
829: 608,192,761
1138: 952,491
831: 715,596
832: 850,884
1057: 63,127,218
1141: 465,578,1011,105
835: 151,214,815,897
1113: 500,991,404,1078
837: 76,501,633
838: 106,736,138,266
1020: 1056,828,51
1105: 891,1108
841: 778,794,461
842: 848,996,686,39
843: 1052,653,803
844: 756,1106
1109: 639,1052,1073,1088
1056: 828,1020,340,409
847: 260,1048,1172
848: 842,123,686,1075,109
849: 1008,292,298
850: 832,777
851: 594,23,853,407
1149: 766,970,1102
853: 851,121
854: 580,94
855: 54,1036,1137,806
856: 610,877,128
1054: 334
858: 394,727,247,731
859: 22,644,1125,425,191,180
860: 975,3,1099,1031,693
1018: 1092,525,132,479
862: 680
863: 60,643,625,1136
864: 10,26,472,798,1023
1146: 338,107,1084,1082,534
866: 139,1029,730
867: 526,1005
868: 83,501,199,474
869: 882,163,305,189
870: 627,72,674
1152: 1039,330,4
872: 688,890,894
873: 542
874: 545
875: 370,738,447,323
876: 458,153
877: 856,374,587
878: 27,1081,289
879: 201,106
880: 939,977,964
881: 63,306,363
882: 869,563,163,1026
1127: 104,426
884: 914,604,832
885: 
886: 692,1142
887: 1112,1028
888: 513,821
889: 235,93,1047
890: 688,872,918,49
891: 1105,30,1067
892: 
893: 173
894: 872,75
1053: 909,552,799,118,1045
1073: 606,1088,1109,1052,799
897: 151,835
898: 231,355,50,294
899: 133,429,466,139,1029
900: 675,126,742
901: 983,956,331
902: 573,654
903: 37,366,462
904: 138,612
905: 313,211,512,34,713
1044: 476,653,328,629
907: 1142
908: 200,1129
909: 1053,552,629,799
910: 972,1086,924,623
1122: 451,240
912: 473,275,357
913: 606,99,118
914: 604,884,965,1028,277
1071: 987,1093,170
1040: 314,103,523
917: 780,323,486
918: 1084,49,890,1032
1008: 600,849,954,374,452
920: 566,507
921: 1005,697,537,431
922: 9,1174
923: 365,971,976,1066
924: 562,1012,910,1086,623
925: 463,547,411,750
926: 1159,1176,8,215,746
927: 339,148,735
928: 951,934,495,304
929: 721,1129,953,945
930: 21,1070
931: 15,157,25
932: 392,217
933: 719,284,819
934: 928,495,960,440
935: 425,395,310,1031,693
1166: 602,603
937: 676,229,513
1167: 1010,1055
939: 880,377,977
940: 665,1153,207,1103
941: 21,314
942: 145,977,348,377
1039: 1152,289,442
944: 477,87,743
945: 929,721,958
946: 58,321,567
947: 450,111,1037,955
948: 348,377,119,220
949: 308,341,283,272
950: 998
951: 928,96,304
952: 491,1033,376,517,1138
953: 929,1129
954: 638,1008,452,128
955: 111,1037,947
956: 983,648,901
957: 962,113,286
958: 945
959: 129,476
960: 475,15,934,495
961: 758,507,1174,559
962: 1079,113,43,957
963: 65,340,611,646,1022
964: 826,977,460,880
965: 519,569,1028,914
966: 640,199
967: 664,402,481
1013: 117,4,330,574
969: 419,641,1043,533,415
970: 1102,381,116,326,1149
971: 923,243,1066,1112
972: 910,1086
973: 114,245
974: 567,1001,1045,28
975: 860,169
976: 704,923
977: 145,942,880,939,964
1003: 499,1134,544
1042: 448,706,681,812
980: 264,88,1,371
981: 1104,280,631
982: 565,477,310,87
983: 194,956,216,11,901
984: 347,780
985: 303,740
986: 307,1132,1021
987: 125,1071,551
1174: 922,961,346
