575: 822,136,1015,155,503
576: 
577: 1055,571,1000,561,750,908
578: 187,346
579: 207,1072
580: 1009,738,854,82
581: 351,550,140,556
1036: 425,395,257,22
583: 412,1022,596
584: 93,453,700,86
585: 315,81
586: 525,522,5,159,309
587: 610,792,877
588: 405,120,372,345
589: 233,1064,734
590: 724
591: 85,1010
592: 140,386
593: 355,1039,50,100,267
594: 962,68,851,23,407
595: 568,45
596: 195,457,1022,583
597: 181,620,302,443,721
598: 681,448
599: 151,558,214
600: 413,512,374
601: 366,470,493,770
602: 737,771,603
603: 602,771
604: 449,777,887,965,914
605: 871,607,422
606: 1088,158,99
607: 224,157,755,605,422
608: 192
609: 794
610: 587,938,512
611: 409,279
612: 904
613: 700,546,165,1047
614: 110,14
615: 43,177,1006,551
616: 795,505,1047,643,60
1055: 571,1026,577,172,1000,200
618: 
619: 888,678,904
620: 597,443
621: 683,764,862,277,252
622: 362,94,854,18
623: 1011,511,275,562,473
624: 307,52,756,1015
625: 692
1046: 480,131,632,227,757
627: 7,288,206,743,72
628: 553,684,228,656,807
629: 290,653
630: 892,813
631: 280,463,778
632: 227,150,8,1046
633: 930,1070,474,431,501
634: 861,234,759,67,240,5
635: 989,665,950,940,1072
636: 676,870,1027
637: 208
638: 433,673,853,121,284,669
639: 303,337,158,1088
640: 199,679,751
641: 294,50,898,355,154
642: 203,727,331
643: 863,60,616,221,688
644: 674,1086,1027,236,870
645: 806
646: 195,1025
647: 664,462,967,850
648: 449,914,569,683,764,194
649: 378,795,505,297,1083,762
650: 749
651: 665,950,219
652: 805,557,334
653: 504,290,629
654: 470,902,817
1045: 28,933,719
656: 969,628,807
657: 88,205,273,1,980,660
658: 776,769,25
659: 204,453,86,885
660: 711,320,1,88,657
661: 279,409,71
662: 
663: 192,732,484
664: 647,217,20,462
665: 651,940,635
666: 155,530,725,520
667: 231,969,417
668: 550
669: 284,853,638
670: 526,867,921,837,1037
671: 10,298,995,55
672: 489,747
673: 433,638,121,74,288
674: 644,924,1086,236,978,937
675: 245,1002,773,900,1034,682
676: 236,636,870,268,329,229
677: 213,786,16,106,256
678: 712,1024,888,619
679: 640,162,751,61
680: 79,862,707,146,1080
681: 598,448,812
682: 773,675,289,973
683: 621,764,449,884,648,277
684: 553,628,228,62,497
685: 301,397,148,528
686: 848,694,1075
687: 250,358,454,324
688: 762,643,505,221,49
689: 240,5,479,498,525
690: 735,238,733,927
691: 247,271,1026,727
692: 436,41,625
693: 425,3,935,975,180
694: 1087,897,1075,686
695: 824,282,404,132,311
696: 158,99,740,337,986,458
697: 287,921
698: 324,566
699: 713,825,531,720,768
700: 86,584,613
701: 211,371,713
702: 
703: 71,800,988,135,726
704: 390
705: 482
706: 1028,213,495,928
707: 481,680,195,457,146
708: 19,774,1084,918,75
709: 70,273,211
710: 933,719,567,798
711: 471,660,88,145,264
712: 678,1024,789,893,888
713: 699,825,701,531
714: 302,945,908,561,814
715: 554,831,392
716: 775
717: 460,88,264,430
718: 1063,1039,742
719: 710,933,567,1053,1045
720: 902,445,699,768
721: 958,302,181,597
722: 76,1017,1013
723: 574,142,538,103,523
724: 590,471,44
725: 822,155,666,168
726: 1056,135,71,703
727: 203,642,691,731
728: 537,801,968,419
729: 2,1032,410
730: 139,1011,357
731: 858,953,247,203,727
732: 386,663,563
733: 162,690,61,90
734: 335,741,589
735: 690,1065,238,785,927
736: 545,570,838,786,106
737: 602,442
738: 59,994,69,179,580,1009
739: 790,564,503,946
740: 985,337,986,696
741: 335,1060,734,508,1077
742: 353,718
743: 22,1044,206,944,627,72
744: 116,326,785
745: 373,361,352,506
746: 1048
747: 672
748: 359,568,434
749: 650,239
750: 411,561,925,547,772,1000,577
751: 818,61,679,640
752: 528
753: 450,955
754: 879,382,201,25
755: 157,607,422,823
756: 1015,307,624
757: 246,1046
758: 961,346
759: 861,234,634,57,38
760: 105,327
761: 296,829
762: 872,688,505,378,649
1088: 1073,606,639,158
764: 621,683,648,194,1020
765: 1035,1016,1004,549
766: 1069
767: 1007,1041,805,36,246
768: 782,699,540,720
769: 33,225,253,658
770: 33,225,493,601,424
771: 602,603
772: 1000,547,750
773: 1034,675,682
774: 19,388,708,75
775: 716,1074
776: 175,437,658
777: 449,884,604,871,887,832
778: 841,631
779: 565,477,1008,113
780: 347,184
781: 138,266,437
782: 242,768,817,902
783: 359,1003,426,104,889
784: 20
785: 735,1065,744
786: 16,736,106,677
787: 
788: 188,518,127,1057
789: 229,329,712
790: 739,822,168,946,1061
791: 436,45,796
792: 587,938,877
793: 111
794: 461,609
795: 616,165,505,1047,297,649
796: 791
797: 0,1017,12,554,283
798: 710,933,1018
799: 118,913,321
800: 703,988,203,135,276
801: 537,728,419,122,930
802: 266,1001,137,437,263
803: 843,909
1041: 767,1007,805,1054,246
805: 557,652,334,767,1041
806: 467,855,6,645
807: 968,1005,628,656
1062: 209,520
809: 439,828,1032
810: 883,1049,103,314
811: 261,459,312,35,318,418
812: 448,681
813: 78,630,394
814: 443,280,302,714
815: 312,835
816: 166
817: 242,782,654
818: 751,61,301
819: 31,292
820: 39,250,454
821: 1042,138,545,570
822: 575,725,136,790,503,168
823: 422,887,755,164,1033
824: 991,695,282,404
825: 699,713,540
826: 226,964,977
827: 134,956,901,285
828: 439,809,410,963
829: 296,761,990,556
1058: 208
831: 554,715,283,949,341,272
832: 777,884
1057: 466,127,218,188,788,306
834: 844
835: 897,815,214,151,109
836: 
837: 501,921,431,670,1037
838: 570,736,879,106
839: 460,573
840: 
841: 778,265,463
842: 123,936,414,996
843: 803,1052
844: 834,307,364
1076: 291,482,89,380
1056: 285,135,726
847: 393,855,848,467
848: 686,847,467
849: 864,10
850: 967,647,79
851: 959,23,594,407
1065: 735,238,785
853: 121,407,669,638
854: 94,622,69,580
855: 393,847,6,806,467
856: 877,435,433,128
1054: 334,112,1041
858: 953,731,247,95,560
859: 191
860: 3,935,310,535
861: 634,759,67,441,59,994
862: 79,680,277,621,1080,252
863: 643,60
864: 849
865: 37,572
866: 398,874
867: 526,670,83,0
868: 966,542,1013
869: 305,163,882
870: 236,636,676,1027,644
871: 605,422,887,777
872: 762,378,241,890,1040,894
873: 32,1013
874: 1042,866,545
875: 426,104,370,1038,160
876: 913,564,153
877: 856,101,587,792
878: 27
879: 382,754,106,256,838,201
880: 226,977,939,377
881: 187,922,63
882: 163,869
883: 21,810,941,416,314
884: 449,777,832,277,683
885: 1043,659,486,384,399
886: 907
887: 422,823,871,777,604
888: 84,619,893,712,678,487
889: 93,453,359,783,104,235
890: 918,75,1040,872,894
891: 997
892: 630
893: 173,368,712,487,888
894: 322,255,872,241,890,75
1053: 28,552,719
1073: 1088,1052
897: 54,835,694,1087,109
898: 50,124,1043,259,294,641
899: 127,133,139
900: 1034,1002,675
901: 956,983,827,285
902: 720,782,654
903: 366
904: 612,619
905: 313,34
1044: 743,257,22,477,87,944
907: 886
908: 714,945,561,571,577
909: 118,803
910: 911,924,1086
911: 910
912: 562,473,357,248
913: 876,799,153,321
914: 469,569,965,449,604,648
1071: 999,120,336,1031
1040: 890,918,49,872
917: 119
918: 890,1040,1084,708
1072: 579,940,635,989
920: 
921: 431,697,670,837
922: 306,63,9,187,881
923: 1035,1016,365,1066,1029,243,143
924: 674,1086,910,978
925: 411,750,265,547,463
926: 1048,557
927: 339,690,735,90
928: 495,706,960
929: 958,95,571,945,271
930: 633,1070,801,122,1049
931: 224,210,225,232,424
932: 462,402,392
933: 710,719,1045,798
934: 440,475,1066,960,1029
935: 3,860,310,425,693,395
936: 39,842,414,249
937: 978,236,674,229
938: 610,792
939: 377,62,948,880
940: 665,635,1072
941: 416,420,883
942: 348,977,377
1039: 593,355,267,183,1063,718
944: 206,401,477,743,1044
945: 302,714,908,958,929
946: 77,790,739
947: 111,955
948: 939,62,1023,348
949: 308,341,831,272,190
950: 651,998,387,635
951: 304
952: 331,216,11,200,1026
953: 858,731,394,276
954: 374,128
955: 450,111,947,753
956: 983,901,827
957: 121,407,962,74,286
958: 721,278,95,929,945
959: 851,23,476,328,129
960: 928,475,934
961: 507,758,346
962: 594,1008,407,957,286
963: 65,828,410
964: 145,264,977,826
965: 971,164,604,469,914
966: 868
967: 481,850,402,647
968: 807,1005,728
969: 656,488,667
970: 116,326,381
971: 965,164,243,365,469,519
972: 275,558,511
973: 289,330,245,682,114
974: 28,552
975: 244,3,693,180
976: 1029,1035,1004
977: 964,942,377,880,826
978: 513,937,674,924
1042: 874,821,545
980: 273,657,205,371
981: 
982: 87,514,310
983: 956,901,1020,29,216
984: 24,184,119
985: 303,337,740
986: 52,364,458,740,696
987: 170,125,1031,478
988: 800,703,276,1010
989: 635,1072
990: 412,351,556,829
991: 824,282
992: 295,388,502
993: 444,490,451
994: 59,738,861,38,69
995: 10,671,55
996: 269,414,842,123,91,46
997: 891
998: 219,950,387
999: 405,120,1071
1000: 772,172,750,1055,571,577
1001: 802,266,84,137,438,263
1002: 245,675,900,126
1003: 359,783,426
1004: 549,976,1029,1035,1016,765
1005: 968,807,415
1006: 170,615,551
1007: 767,1041,246
1008: 477,779,113,962,401,286
1009: 179,580,738,1019,82
1010: 394,85,276,988,591
1011: 623,473,730
1012: 244
1013: 542,76,868,873,722
1014: 534,147,532
1015: 756,624,575,503
1016: 1035,765,365,923,1004,549,519
1017: 797,0,76,283,722
1018: 58,798,472
1019: 1038,408,1030,59,179,1009
1020: 194,376,29,764,983
1021: 153,567
1022: 272,190,596,412,583
1023: 24,348,948
1024: 712,678
1025: 146,1080,400,195,646
1026: 1055,571,200,952,691,271
1027: 541,636,870,644
1028: 706,16,213
1029: 976,934,1066,1035,923,1004
1030: 13,441,59,1019
1031: 125,336,1071,987
1032: 2,729,809,410
1033: 164,243,440,1066,823
1034: 773,900,675
1035: 1016,765,365,923,976,1029,1004,549
